source,grant_key,title,abstract,award_year,programme_name,organisation_name,amount_native,currency,primary_topic,demo_keyword_count,demo_matched_keywords,source_url
CORDIS,CORDIS_101098001,"Automated, miniaturized and accelerated drug discovery: AMADEUS","The mantra ‘Automation + Miniaturization = Acceleration’ is successfully applied in many research areas and technologies, but not in synthetic chemistry, which is largely believed to be not automatable. However, with the potential to accelerate discoveries while flattening costs, increase safety, streamline data generation, enhance reproducibility, and lower the environmental footprint, automation and miniaturization are two promising approaches to synthesis and are worthwhile to invest in. I will engineer and validate a comprehensive, technology platform, AMADEUS (Automated, MiniAturizeD, and acceleratEd drUg diScovery), which is able to synthesize in a fully autonomous manner thousands of small molecules per day in nano- or picolitre volumes, based on hundreds of chemistries, efficiently screened and optimized for properties using artificial intelligence. The AMADEUS process will be achieved by interfacing four different modules: a synthetic part based on acoustic droplet ejection technology, coupled with a UPLC MS QC and purification module, and a flexible mounted screening unit. A machine learning module will retrieve and process all relevant synthesis, QC, and screening ‘real-time’ data and automatically guide the iterative optimization cycle.AMADEUS will be showcased with several medicinal chemistry, catalysis, and organic chemistry projects. With my project, I want to challenge the early drug discovery process, which for over 50 years in pharma companies around the world has (almost uniformly) been pursued and comprises two blocks, 1) a high throughput screen relying on millions of curated and stored compounds and 2) the subsequent hit-to-lead optimization phase often called the ‘design, make, test cycle’. AMADEUS will contribute to the accelerated discovery of drugs for unmet medical needs and ultimately reduce drug costs for patients. AMADEUS is a highly sustainable synthesis platform.AMADEUS will help democratize drug discovery.",2024,ERC ADVANCED GRANTS,UNIVERZITA PALACKEHO V OLOMOUCI,3409401.0,EUR,AI-enabled catalysis,7,"['machine learning', 'artificial intelligence', 'catalysis', 'automated', 'automation', 'optimization', 'discovery']",https://cordis.europa.eu/project/id/101098001
CORDIS,CORDIS_101062692,Computationally driven discovery of organic dyes for photoredox catalysis from physicochemical principles and mechanistic information,"Photoredox catalysis has become a quintessential part of organic synthesis and gained wide interest in the chemical industry as a mild and robust synthetic methodology. Acridinium salts are a prominent substitute for transition metal-based photocatalysts (PCs) due to the modularity of the core, which makes them and structurally related dyes an optimal platform for structure-property tuning. However, a limited understanding of how structure influences reactivity prevents rational design, while the synthetically realizable chemical space is far too vast to explore using even high-throughput experimental methods.The objective of the proposed action is to study computationally the elementary mechanistic steps integral to photoredox catalysis to establish how they are each influenced by PC structure. We will develop an automated workflow for high-throughput computational molecular PC construction and analysis, in which known molecular fragments are coupled together by chemically precedented steps. Finally, Bayesian optimization will be used to guide the machine learning model building. This is distinct from conventional approaches in the field as we aim to increase the quality of our model with mechanistic understanding from quantum chemical calculation. My expertise in the fields of synthetic, physical, and computational organic chemistry, provide me the necessary skillset and ability to learn new concepts and successfully execute this project. The gained knowledge and results from the project will be an asset and help to build sustainable processes in the chemical industry in EU. The work will be implemented in the research groups of Prof. Robert Paton and Prof. Jeremy Harvey, with a secondment period in the group of Prof. Abigail Doyle. The investigators’ combined expertise ranges from computational and empirical reaction mechanism study to data sciences, and hence enables the project to incorporate complex mechanistic information to rational PC design.",2022,MSCA Postdoctoral Fellowships 2021,KATHOLIEKE UNIVERSITEIT LEUVEN,290444.16,EUR,AI-enabled catalysis,7,"['machine learning', 'catalyst', 'catalysis', 'reaction', 'automated', 'optimization', 'discovery']",https://cordis.europa.eu/project/id/101062692
CORDIS,CORDIS_101206634,Robot-mediated development of statistical models for mechanistic analysis amplification in synthetic organic reactions,"Cyb-org aims to apply well-established machine learning (ML) techniques to innovate mechanistic studies and optimization protocols in organic chemistry. Within this project, a robotic platform will be programmed to autonomously set up and sample reactions for kinetic analysis, extracting data on reaction rates, yields, and enantioselectivity. The primary goal of this proposal is to develop statistical models capable of generalizing mechanistic insights across a range of substrates or catalyst variables, focusing on the selected organic transformations. The new model will generate predicted outputs, which can subsequently be experimentally validated to achieve enhanced performance. Identifying outliers within this data will allow for the analysis of atypical reactions, potentially leading to the discovery of novel reactivity and the development of new, significant synthetic strategies. This advanced ML tool could be adopted by the pharmaceutical and fine chemical industries, enhancing automated systems for optimizing organic chemical transformations.",2025,MSCA Postdoctoral Fellowships 2024,UNIVERSITAT DE GIRONA,322164.36,EUR,AI-enabled catalysis,6,"['machine learning', 'catalyst', 'reaction', 'automated', 'optimization', 'discovery']",https://cordis.europa.eu/project/id/101206634
CORDIS,CORDIS_101118768,Directed Evolution of Metastable Electrocatalyst Interfaces for Energy Conversion,"It is our aim to transform the research field of electrocatalysis from the established “initial (as-synthesized) state approach” to a data-centric understanding of the metastable active interface of electrocatalysts, constantly evolving under reaction conditions. We want to overcome the limitations of elemental or binary alloy catalysts by exploring and exploiting high entropy materials (HEM) as a discovery platform for sustainable materials, with the aim to identify in the extremely large, multidimensional search space new electrocatalysts that are both stable and active.To understand and control the active interface of HEM electrocatalysts, we combine the core expertises of the PIs: theoretical modelling and simulations, high-throughput synthesis and characterization, nanoparticle synthesis, electrochemical operando techniques as well as machine learning. Our synergistic approach will significantly advance these individual competences by key conceptual innovations: (i) Evolutionary screening of micro-libraries to efficiently identify stable materials covering the complete HEM composition space; (ii) Accelerated atomic-scale characterization of HEM surfaces by combining combinatorial HEM synthesis with atom probe tomography; (iii) High-throughput operando experiments with thin film material libraries; (iv) Developing inverse activity-structure relationships and theoretical descriptors for metastability; v) Implementing active learning approaches based on materials informatics and using a semantic data lake.We will establish a theory of metastability as a core concept for the understanding of electrocatalysis for the most important energy conversion reactions: oxygen reduction and evolution, and CO2 reduction. Instead of passively accepting the degradation of catalysts during operation, we will direct the evolution through the highly multidimensional space towards long-lasting, active HEM interfaces.",2024,ERC Synergy Grants,KOBENHAVNS UNIVERSITET,9973679.0,EUR,AI-enabled catalysis,5,"['machine learning', 'catalyst', 'catalysis', 'reaction', 'discovery']",https://cordis.europa.eu/project/id/101118768
CORDIS,CORDIS_101204747,Development of Data-assisted Photo-Organocatalytic Transformations,"Photocatalysis is now a well-established method for developing sustainable protocols in synthetic organic chemistry. Organophotoredox catalysis, in particular, is gaining significant interest due the use of inexpensive, easy-to-make, metal-free organic dyes with tunable photophysical properties. Structural modification of these organic molecules is crucial to fine-tune their redox features for desired photochemical transformations. However, predicting the final excited-state properties of functionalized dyes remains challenging, especially when compatibility with the reaction system is required. This has led to a resource-intensive trial-and-error approach to identify the optimal photocatalyst structure for specific transformations, limiting its widespread application. A promising solution is data science, which can streamline the relationship between the chemical structure of dyes and their function, facilitating their application. The computer-assisted development of innovative systems in organophotoredox catalysis can offer novel possibilities for large-scale applications, reducing time, reagent consumption, and costs compared to traditional methods. This proposal aims to develop new data-assisted protocols for reaction discovery and photocatalyst design. During the outgoing phase at the University of Utah, under Prof. Sigman's supervision, machine learning algorithms will be used to correlate photocatalysts' structures with their functions. Classification tools will explore reactivity cliffs, and dimensionality reduction techniques will map the chemical space to visualize reactivity patterns with fewer experiments. In the subsequent return phase at the University of Padova, under Prof. Dell'Amico's supervision, these photochemical methodologies will be adapted for flow processes to produce synthetically relevant compounds on a multi-gram scale. The data science knowledge acquired will guide this transition, enabling a more efficient implementation.",2025,MSCA Postdoctoral Fellowships 2024,UNIVERSITA DEGLI STUDI DI PADOVA,396991.08,EUR,AI-enabled catalysis,5,"['machine learning', 'catalyst', 'catalysis', 'reaction', 'discovery']",https://cordis.europa.eu/project/id/101204747
NSF,NSF_2309852,Semi-Automated Discovery of Synthetic Polymers with Protein Features,"Enzymes are biological catalysts with unrivaled complexity. In some cases, tens of millions of years of evolution have shaped their structure and function. To create enzymes with new capabilities, a design strategy that can replace evolution is needed. The goal of this project is to combine artificial intelligence, polymer science, and robotics to accelerate the design and development of synthetic enzymes. Peptides are strings of amino acids, the building blocks of enzymes. Combining polymers and peptides will create a greater variety of structures and chemistries to be evaluated than would be possible simply using peptides to create enzymes. To prepare a future workforce proficient in this approach to enzyme design, this project will create an interdisciplinary and immersive environment for graduate and undergraduate students. Students from traditionally underrepresented groups will be actively recruited via outreach and participation in training programs at Rutgers University. Enzymes are typically globular proteins with an active pocket capable of catalyzing chemical reactions with exceptional specificity. Single-chain polymer nanoparticles (SCNPs) hydrophobically collapse around catalytic elements, creating synthetic enzyme mimics. There is no current method that yields bespoke polymers that can assume protein-like structures. The goal of this project is to develop SCNPs that collapse and structure around catalytic ligands to produce globular nanomaterials that mimic the structure and function of glutathione peroxidase and carbonic anhydrase. The central hypothesis is that active machine learning through physicochemical landscapes via automation will provide an efficient process for designing catalytic SCNPs with enzymatic activity. This project will implement an iterative and closed-loop Design-Build-Test-Learn process to reveal underlying structure-function behavior that encode enzyme mimetic behavior in SCNPs. The following three objectives will be completed: 1) program automation for sequence-level synthetic control of SCNPs, 2) machine learning model training through active learning on an automated platform, and 3) in-depth analysis of structure-function relationships to reveal underlying biophysical behavior. The resulting models and data will be published open source to serve the synthetic enzyme / SCNP community as a digital resource. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",2023,Cellular & Biochem Engineering,Rutgers University New Brunswick,579734.0,USD,AI-enabled catalysis,8,"['machine learning', 'artificial intelligence', 'catalyst', 'reaction', 'automated', 'automation', 'closed-loop', 'discovery']",https://www.nsf.gov/awardsearch/showAward?AWD_ID=2309852
NSF,NSF_2554343,Collaborative Research: DMREF: Atomically precise catalyst design for selective bond activation,"The project develops a design methodology for supported single-atom catalysts (SACs) – an emerging class of supported single metal-atom catalysts that offer exciting and emergent properties that can revolutionize many industrial applications. The realization of their full potential is hindered by limited understanding of how to control their stability and catalytic properties within the complex material design space extending across the properties of the metal atoms and supporting material, together with interactions between the two. To overcome this challenge, the project embraces a highly-integrated, computational-experimental methodology using machine learning techniques (ML) to leverage the support material as a ligand to regulate the geometric and electronic properties of the metal site and improve its stability. The model predictions will guide the synthesis, characterization and catalytic measurements to enable selective bond activation. The proposed methodology can profoundly impact the discovery of complex materials for challenging chemical reactions. The design of stable, active, and selective catalysts, while maximizing the metal utilization at the single-atom level, can significantly reduce capital costs and energy consumption, leading to lower CO2 emissions, reduced production of harmful byproducts, and more responsible utilization of hydrocarbon feedstocks. The interdisciplinary nature of this research and the integration of research and education plans between the three institutions will lead to a cadre of students obtaining a unique educational experience in heterogeneous catalysis, multiscale modeling, and advanced lab- and synchrotron-based characterization techniques. Furthermore, the project will develop educational materials for outreach programs targeting K-12 students with focused efforts to increase the participation of underrepresented students in STEM fields. The project incorporates a conceptual framework centered on artificial intelligence (AI) and multiscale modeling-based methodologies to build guiding principles that can be leveraged to predict highly active, stable, and selective metal-support compositions. The model predictions will guide the synthesis of single-metal atoms supported on novel, high-surface-area unconventional support materials (perovskites and spinels) by atomic layer deposition, followed by detailed characterization of their properties, catalyst evaluation, and model assessment and refinement (thus enabling an efficient catalyst discovery/design loop). By uncovering physics-inspired descriptors and harnessing the capabilities of machine learning, the project aims to predict how the surface composition of the oxide support and the local cation environment at the metal site influence stability, activity, and selectivity. The developed methods and models will be evaluated with respect to two complex industrially relevant reactions: 1) water-gas shift, and 2) hydrodeoxygenation (HDO) of cresol to toluene. The former focuses primarily on maximizing reaction rate, while the latter addresses both activity and selectivity challenges. The outcome of this research will serve as a foundational methodology for designing new materials in silico. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",2025,"Catalysis, DMREF",University of Virginia Main Campus,625184.0,USD,AI-enabled catalysis,7,"['machine learning', 'artificial intelligence', 'catalyst', 'catalysis', 'heterogeneous', 'reaction', 'discovery']",https://www.nsf.gov/awardsearch/showAward?AWD_ID=2554343
NSF,NSF_2318141,CCI Phase I: NSF Center for Sustainable Photoredox Catalysis (SuPRCat),"The NSF Center for Sustainable Photoredox Catalysis (SuPRCat) is supported by the Centers for Chemical Innovation (CCI) Program of the Division of Chemistry. Photoredox catalysis is a type of catalysis that dramatically speeds up chemical reactions by using light as the primary energy source. Most current systems incorporate precious metals as photoredox catalysts (PCs), resulting in a more limited chemical applicability and reduced industrial interest due to the high costs of precious metals. The goal of SuPRCat is to unleash the potential of photoredox catalysis by creating new sustainable PCs that incorporate earth abundant metals at their core; SuPRCat will also establish new understandings on how to rationally select and use these PCs to best effect. SuPRCat will investigate techniques for performing multi-catalytic transformations in an environmentally friendly, single reaction vessel. SuPRCat will encourage innovation through active engagement with industrial stakeholders. The development of undergraduate curriculum focused on photoredox catalysis and a research exchange program across institutions will promote higher education. SuPRCat will also create and post numerous three-minute videos that describe SuPRCat topics and promote recruitment of the next generation of “SuPR” scientists. The mission of SuPRCat is to transform chemical synthesis by designing powerful, industrially relevant processes using sustainable catalysts based on organic or earth abundant compounds and the energy from visible light. The overarching goal of SuPRCat in Phase I is to establish the capability to rationally design a polymer supported PC system and successfully employ the system for one-pot, multi-catalytic transformations. SuPRCat will achieve this fundamental breakthrough by merging the broad collective expertise of scientists from academia and industry with complementary expertise spanning physical, computational, spectroscopic, photo-, electro-, magnetic, catalytic, synthetic, organic, inorganic, polymer, and materials chemistries. SuPRCat will create a computational and data-driven discovery platform based upon machine learning that works closely with experimentalists to intelligently search chemical space and identify new classes of organic PCs, optimize the performance of existing PCs, and identify corresponding reaction conditions. The team will focus on developing and understanding closed-shell and open-shell PCs with applications that include single electron transfer and atom transfer reactions. Systems of PCs will be merged together into multi-catalytic systems capable of performing dehydrogenation of alkanes to alkenes, alkane functionalization, and the synthesis of polar functionalized monomers. The final pillar will be to unify these multi-component systems into heterogeneous polymer supports for increased efficiency and recyclability. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",2023,Phase I Ctrs for Chem Innovati,Colorado State University,1800000.0,USD,AI-enabled catalysis,7,"['machine learning', 'data-driven', 'catalyst', 'catalysis', 'heterogeneous', 'reaction', 'discovery']",https://www.nsf.gov/awardsearch/showAward?AWD_ID=2318141
NSF,NSF_2323699,Collaborative Research: DMREF: Atomically precise catalyst design for selective bond activation,"The project develops a design methodology for supported single-atom catalysts (SACs) – an emerging class of supported single metal-atom catalysts that offer exciting and emergent properties that can revolutionize many industrial applications. The realization of their full potential is hindered by limited understanding of how to control their stability and catalytic properties within the complex material design space extending across the properties of the metal atoms and supporting material, together with interactions between the two. To overcome this challenge, the project embraces a highly-integrated, computational-experimental methodology using machine learning techniques (ML) to leverage the support material as a ligand to regulate the geometric and electronic properties of the metal site and improve its stability. The model predictions will guide the synthesis, characterization and catalytic measurements to enable selective bond activation. The proposed methodology can profoundly impact the discovery of complex materials for challenging chemical reactions. The design of stable, active, and selective catalysts, while maximizing the metal utilization at the single-atom level, can significantly reduce capital costs and energy consumption, leading to lower CO2 emissions, reduced production of harmful byproducts, and more responsible utilization of hydrocarbon feedstocks. The interdisciplinary nature of this research and the integration of research and education plans between the three institutions will lead to a cadre of students obtaining a unique educational experience in heterogeneous catalysis, multiscale modeling, and advanced lab- and synchrotron-based characterization techniques. Furthermore, the project will develop educational materials for outreach programs targeting K-12 students with focused efforts to increase the participation of underrepresented students in STEM fields. The project incorporates a conceptual framework centered on artificial intelligence (AI) and multiscale modeling-based methodologies to build guiding principles that can be leveraged to predict highly active, stable, and selective metal-support compositions. The model predictions will guide the synthesis of single-metal atoms supported on novel, high-surface-area unconventional support materials (perovskites and spinels) by atomic layer deposition, followed by detailed characterization of their properties, catalyst evaluation, and model assessment and refinement (thus enabling an efficient catalyst discovery/design loop). By uncovering physics-inspired descriptors and harnessing the capabilities of machine learning, the project aims to predict how the surface composition of the oxide support and the local cation environment at the metal site influence stability, activity, and selectivity. The developed methods and models will be evaluated with respect to two complex industrially relevant reactions: 1) water-gas shift, and 2) hydrodeoxygenation (HDO) of cresol to toluene. The former focuses primarily on maximizing reaction rate, while the latter addresses both activity and selectivity challenges. The outcome of this research will serve as a foundational methodology for designing new materials in silico. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",2023,"Catalysis, DMREF",Virginia Polytechnic Institute and State University,625184.0,USD,AI-enabled catalysis,7,"['machine learning', 'artificial intelligence', 'catalyst', 'catalysis', 'heterogeneous', 'reaction', 'discovery']",https://www.nsf.gov/awardsearch/showAward?AWD_ID=2323699
NSF,NSF_2323700,Collaborative Research: DMREF: Atomically precise catalyst design for selective bond activation,"The project develops a design methodology for supported single-atom catalysts (SACs) – an emerging class of supported single metal-atom catalysts that offer exciting and emergent properties that can revolutionize many industrial applications. The realization of their full potential is hindered by limited understanding of how to control their stability and catalytic properties within the complex material design space extending across the properties of the metal atoms and supporting material, together with interactions between the two. To overcome this challenge, the project embraces a highly-integrated, computational-experimental methodology using machine learning techniques (ML) to leverage the support material as a ligand to regulate the geometric and electronic properties of the metal site and improve its stability. The model predictions will guide the synthesis, characterization and catalytic measurements to enable selective bond activation. The proposed methodology can profoundly impact the discovery of complex materials for challenging chemical reactions. The design of stable, active, and selective catalysts, while maximizing the metal utilization at the single-atom level, can significantly reduce capital costs and energy consumption, leading to lower CO2 emissions, reduced production of harmful byproducts, and more responsible utilization of hydrocarbon feedstocks. The interdisciplinary nature of this research and the integration of research and education plans between the three institutions will lead to a cadre of students obtaining a unique educational experience in heterogeneous catalysis, multiscale modeling, and advanced lab- and synchrotron-based characterization techniques. Furthermore, the project will develop educational materials for outreach programs targeting K-12 students with focused efforts to increase the participation of underrepresented students in STEM fields. The project incorporates a conceptual framework centered on artificial intelligence (AI) and multiscale modeling-based methodologies to build guiding principles that can be leveraged to predict highly active, stable, and selective metal-support compositions. The model predictions will guide the synthesis of single-metal atoms supported on novel, high-surface-area unconventional support materials (perovskites and spinels) by atomic layer deposition, followed by detailed characterization of their properties, catalyst evaluation, and model assessment and refinement (thus enabling an efficient catalyst discovery/design loop). By uncovering physics-inspired descriptors and harnessing the capabilities of machine learning, the project aims to predict how the surface composition of the oxide support and the local cation environment at the metal site influence stability, activity, and selectivity. The developed methods and models will be evaluated with respect to two complex industrially relevant reactions: 1) water-gas shift, and 2) hydrodeoxygenation (HDO) of cresol to toluene. The former focuses primarily on maximizing reaction rate, while the latter addresses both activity and selectivity challenges. The outcome of this research will serve as a foundational methodology for designing new materials in silico. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",2023,DMREF,University of Delaware,638566.0,USD,AI-enabled catalysis,7,"['machine learning', 'artificial intelligence', 'catalyst', 'catalysis', 'heterogeneous', 'reaction', 'discovery']",https://www.nsf.gov/awardsearch/showAward?AWD_ID=2323700
