source,stage,rule,records_checked,failures,failure_rate,severity,status,action,example_ids
ALL_FUNDING,integration,Combined row count reconciles with source inputs,1,0,0.0,critical,PASS,Correct integration logic if row counts do not reconcile,
ALL_FUNDING,integration,Grant keys are globally unique,3339,0,0.0,critical,PASS,Investigate and resolve duplicate grant keys,
ALL_FUNDING,completeness,Titles are present,3339,0,0.0,high,PASS,Exclude or recover records with missing titles,
ALL_FUNDING,completeness,Abstracts are present,3339,0,0.0,high,PASS,Exclude from text modelling if abstract is unavailable,
ALL_FUNDING,funding,Primary funding amounts are present,3339,0,0.0,high,PASS,Flag records without a usable primary amount,
ALL_FUNDING,funding,Primary funding amounts are non-negative,3339,0,0.0,high,PASS,Investigate negative funding values,
ALL_FUNDING,completeness,Lead organisations are present,3339,0,0.0,medium,PASS,Flag records without an identifiable lead organisation,
ALL_FUNDING,traceability,Source URLs are valid HTTP links,3339,0,0.0,high,PASS,Repair or flag invalid source links,
ALL_FUNDING,scope,Award years fall within 2021–2025,3339,0,0.0,high,PASS,Exclude records outside the documented project period,
ALL_FUNDING,funding,Currency matches funding source,3339,0,0.0,critical,PASS,Correct source-currency mismatches,
ALL_FUNDING,classification,Relevance tiers use approved values,3339,0,0.0,high,PASS,Correct unexpected relevance labels,
ALL_FUNDING,classification,Grant receives at least one named taxonomy topic,3339,1100,0.3294,informational,REVIEW,Retain unmatched candidates in 'Other AI-enabled chemistry/materials',CORDIS_101039636 | CORDIS_101040355 | CORDIS_101041177 | CORDIS_101041570 | CORDIS_101041729
ALL_FUNDING,topic_bridge,Grant-topic relationships are unique,3245,0,0.0,critical,PASS,Remove duplicate grant-topic relationships,
ALL_FUNDING,topic_bridge,Bridge grant coverage reconciles with named-topic grants,1,0,0.0,critical,PASS,Correct topic-bridge construction,
OpenAlex,publication_context,Topic-year combinations are unique,40,0,0.0,critical,PASS,Resolve duplicate topic-year records,
OpenAlex,publication_context,Publication counts are present,40,0,0.0,high,PASS,Recover or flag missing publication counts,
OpenAlex,publication_context,Publication counts are non-negative,40,0,0.0,high,PASS,Investigate invalid publication counts,
OpenAlex,publication_context,Publication years fall within 2021–2025,40,0,0.0,high,PASS,Exclude records outside the project period,
OpenAlex,taxonomy_alignment,OpenAlex and funding taxonomy topic sets align,1,0,0.0,critical,PASS,Reconcile topic labels across sources,
ALL_SOURCES,topic_year_context,Integrated topic-year context contains 40 unique rows,1,0,0.0,critical,PASS,Correct topic-year integration logic,
